,Dokumen1,Dokumen2,Dokumen3,Dokumen4,Dokumen5
geleng,0.0249575686087148,0.0,0.0,0.0,0.0
gelinding,0.0,0.0,0.0,0.005708138546059346,0.0
gembala,0.0,0.0,0.0,0.0,0.021619189821103717
gempa,0.0499151372174296,0.0,0.0,0.0,0.0
genap,0.0,0.0,0.0,0.004605290237597755,0.0523266786665342
geografis,0.0,0.02001846666101936,0.0,0.0,0.0
gerak,0.0,0.06005539998305808,0.0,0.0,0.0
gereja,0.04756966066286439,0.11446687948477115,0.09229275891559474,0.1332779714801058,0.06180995871750392
gerejawi,0.0,0.0,0.0,0.05137324691453412,0.0
getsemani,0.020135609207880545,0.0,0.0,0.004605290237597755,0.0
giat,0.0,0.013406600429155676,0.0,0.007645613820192807,0.014478623385176305
giles,0.0,0.02001846666101936,0.0,0.0,0.0
gloria,0.0,0.0,0.0,0.005708138546059346,0.0
gods,0.0,0.0,0.0,0.005708138546059346,0.0
golgota,0.0499151372174296,0.0,0.0,0.0,0.0
gong,0.0,0.02001846666101936,0.0,0.0,0.0
gongbel,0.0,0.02001846666101936,0.0,0.0,0.0
good,0.0,0.0,0.0,0.005708138546059346,0.0
great,0.0,0.02001846666101936,0.0,0.0,0.0
gregorian,0.10067804603940272,0.0,0.0,0.0506581926135753,0.0
gregorianl,0.0,0.0,0.0,0.005708138546059346,0.0
gua,0.0,0.0,0.0,0.005708138546059346,0.0
gula,0.0,0.0,0.0,0.0,0.021619189821103717
guling,0.0,0.0,0.0,0.005708138546059346,0.0
gunung,0.0,0.0,0.0,0.011416277092118692,0.0
guru,0.0,0.06005539998305808,0.0,0.0,0.0
gustav,0.0,0.0,0.0,0.011416277092118692,0.0
gusur,0.0,0.0,0.0,0.005708138546059346,0.0
habis,0.0249575686087148,0.0,0.0,0.0,0.0
hadap,0.1996605488697184,0.0,0.0,0.0,0.0
haec,0.0,0.0,0.0,0.005708138546059346,0.0
hai,0.0748727058261444,0.0,0.0,0.0,0.0
hak,0.0249575686087148,0.0,0.0,0.0,0.0
halaman,0.020135609207880545,0.0,0.0,0.013815870712793265,0.0
hamba,0.0,0.02001846666101936,0.0,0.0,0.0
hapus,0.0,0.0,0.0,0.005708138546059346,0.0
harap,0.0,0.0,0.0,0.005708138546059346,0.0
hasil,0.0,0.0,0.0,0.022832554184237384,0.0
hati,0.0,0.02001846666101936,0.0,0.0,0.0
hening,0.0,0.0,0.0,0.005708138546059346,0.0
henti,0.0,0.0,0.0,0.004605290237597755,0.03488445244435613
heran,0.0249575686087148,0.0,0.0,0.0,0.0
hias,0.0,0.0,0.0,0.005708138546059346,0.0
